020-1a00	WYG 020-1a	WYG0245/WYG0245-0241a.png
020-2a00	WYG 020-2a	WYG0245/WYG0245-0241c.png
020-3a00	WYG 020-3a	WYG0245/WYG0245-0242a.png
020-4a00	WYG 020-4a	WYG0245/WYG0245-0242c.png
020-5a00	WYG 020-5a	WYG0245/WYG0245-0243a.png
020-6a00	WYG 020-6a	WYG0245/WYG0245-0243c.png
020-7a00	WYG 020-7a	WYG0245/WYG0245-0244a.png
020-8a00	WYG 020-8a	WYG0245/WYG0245-0244c.png
020-9a00	WYG 020-9a	WYG0245/WYG0245-0245a.png
020-10a00	WYG 020-10a	WYG0245/WYG0245-0245c.png
020-11a00	WYG 020-11a	WYG0245/WYG0245-0246a.png
020-12a00	WYG 020-12a	WYG0245/WYG0245-0246c.png
020-13a00	WYG 020-13a	WYG0245/WYG0245-0247a.png
020-14a00	WYG 020-14a	WYG0245/WYG0245-0247c.png
020-15a00	WYG 020-15a	WYG0245/WYG0245-0248a.png
020-16a00	WYG 020-16a	WYG0245/WYG0245-0248c.png
020-17a00	WYG 020-17a	WYG0245/WYG0245-0249a.png
020-18a00	WYG 020-18a	WYG0245/WYG0245-0249c.png
020-19a00	WYG 020-19a	WYG0245/WYG0245-0250a.png
020-20a00	WYG 020-20a	WYG0245/WYG0245-0250b.png
020-21a00	WYG 020-21a	missing/missing
020-22a00	WYG 020-22a	missing/missing
020-23a00	WYG 020-23a	missing/missing
020-24a00	WYG 020-24a	missing/missing
020-24b00	WYG 020-24b	missing/missing
